answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>There would be a surplus of 40 pounds of chocolate.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>36. <div class=""paragraph""><div class=""stdaln_stmt""><div class=""stdaln_img""><img alt=""Graphic showing supply and demand curves on the price of chocolate. The x-axis is labeled Quantity of Chocolate (in pounds) and is marked 20, 40, 60, 80, and 100. The y-axis is labeled price and is marked $4, $5, and $6. The two lines intersect at 60 pounds and $5."" class=""inln_img"" height=""339"" src=""./EconomicsMed_files/ItemResource(1)"" title=""Graphic showing supply and demand curves on the price of chocolate. The x-axis is labeled Quantity of Chocolate (in pounds) and is marked 20, 40, 60, 80, and 100. The y-axis is labeled price and is marked $4, $5, and $6. The two lines intersect at 60 pounds and $5."" width=""417""/></div></div></div><div class=""paragraph"">Suppose that the government set the price of chocolate at $6 per pound. Which of the following statements best describes an effect of this price control?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>There would be a surplus of 40 pounds of chocolate.</span></span></div>
<div>B. <span class=""itemtext""><span>Less chocolate would be demanded at $4 than at $6.</span></span></div>
<div>C. <span class=""itemtext""><span>Producers of chocolate would want the price set at $4.</span></span></div>
<div>D. <span class=""itemtext""><span>There would be a shortage of 20 pounds of chocolate.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #10 E002601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>  $5             60</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>37. <div class=""paragraph""><div class=""stdaln_stmt""><div class=""stdaln_img""><img alt=""Graphic showing supply and demand curves on the price of chocolate. The x-axis is labeled Quantity of Chocolate (in pounds) and is marked 20, 40, 60, 80, and 100. The y-axis is labeled price and is marked $4, $5, and $6. The two lines intersect at 60 pounds and $5."" class=""inln_img"" height=""339"" src=""./EconomicsMed_files/ItemResource(1)"" title=""Graphic showing supply and demand curves on the price of chocolate. The x-axis is labeled Quantity of Chocolate (in pounds) and is marked 20, 40, 60, 80, and 100. The y-axis is labeled price and is marked $4, $5, and $6. The two lines intersect at 60 pounds and $5."" width=""417""/></div></div></div><div class=""paragraph"">If the government removes the price control of $6, what will be the price and quantity sold of chocolate?</div><div class=""paragraph"">                              Quantity Sold<br>               <span class=""stressed_text_3"">Price</span>         <span class=""stressed_text_3"">(in pounds)</span></br></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>  $6             40</span></span></div>
<div>B. <span class=""itemtext""><span>  $5             60</span></span></div>
<div>C. <span class=""itemtext""><span>  $5             100</span></span></div>
<div>D. <span class=""itemtext""><span>  $4             80</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #11 E002701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Decreasing taxes and increasing spending</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>38. <div class=""paragraph"">Which of the following fiscal policy combinations would a government most likely follow to stimulate economic activity when the economy is in a severe recession?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Increasing both taxes and spending</span></span></div>
<div>B. <span class=""itemtext""><span>Increasing taxes and decreasing spending</span></span></div>
<div>C. <span class=""itemtext""><span>Decreasing taxes and increasing spending</span></span></div>
<div>D. <span class=""itemtext""><span>Decreasing both taxes and spending</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #14 E003001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>She will have more income to spend and less purchasing power.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>39. <div class=""paragraph"">Jennifer receives a 2 percent increase in wages this year. The inflation rate is 4 percent. Which of the following is most likely to happen to Jennifer's financial situation?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>She will have more income to spend and greater purchasing power.</span></span></div>
<div>B. <span class=""itemtext""><span>She will have more income to spend and less purchasing power.</span></span></div>
<div>C. <span class=""itemtext""><span>Her cost of living and her purchasing power will decrease.</span></span></div>
<div>D. <span class=""itemtext""><span>Her cost of living and her purchasing power will increase.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #15 E003101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Checking account deposits, paper currency, and coins</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>40. <div class=""paragraph"">The most basic measure of the money supply in the United States consists of which of the following?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Gold certificates, silver certificates, and precious metals</span></span></div>
<div>B. <span class=""itemtext""><span>Treasury bills, Treasury notes, and Treasury bonds</span></span></div>
<div>C. <span class=""itemtext""><span>Credit card accounts, charge accounts, and savings accounts</span></span></div>
<div>D. <span class=""itemtext""><span>Checking account deposits, paper currency, and coins</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E2 #17 E003301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>It is loaned to other bank customers.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>41. <div class=""paragraph"">What happens to most of the money deposited in checking accounts at a commercial bank?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>It is used to pay the bank's expenses.</span></span></div>
<div>B. <span class=""itemtext""><span>It is loaned to other bank customers.</span></span></div>
<div>C. <span class=""itemtext""><span>It is kept in the bank's vault until depositors withdraw the funds.</span></span></div>
<div>D. <span class=""itemtext""><span>It is paid to owners of the bank as return on their investment.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #1 E005401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Retirees who are living on a fixed income</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>42. <div class=""paragraph"">Which of the following groups would most likely be hurt financially by unexpected inflation?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>People who are borrowing money at fixed rates of interest</span></span></div>
<div>B. <span class=""itemtext""><span>Purchasers of land who are speculating on price increases</span></span></div>
<div>C. <span class=""itemtext""><span>Retirees who are living on a fixed income</span></span></div>
<div>D. <span class=""itemtext""><span>Workers with a cost-of-living adjustment clause in their contracts</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #5 E005801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Real gross domestic product per capita</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>43. <div class=""paragraph"">Which of the following is the best measure for comparing the material standard of living among people in different nations?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Imports and exports per capita</span></span></div>
<div>B. <span class=""itemtext""><span>Real gross domestic product per capita</span></span></div>
<div>C. <span class=""itemtext""><span>Consumer price index</span></span></div>
<div>D. <span class=""itemtext""><span>Real interest rates</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #7 E006001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Decrease        Increase</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>44. <div class=""paragraph"">Suppose that the federal government initially has a balanced budget. Which of the following changes in government tax revenues and expenditures over time will definitely lead to an increase in the national debt?</div><div class=""paragraph""></div><div class=""paragraph"">          <span class=""stressed_text_3"">Tax Revenue</span>     <span class=""stressed_text_3"">Expenditures</span></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Increase         No Change</span></span></div>
<div>B. <span class=""itemtext""><span>Increase         Decrease</span></span></div>
<div>C. <span class=""itemtext""><span>Decrease        Increase</span></span></div>
<div>D. <span class=""itemtext""><span>No Change     Decrease</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #8 E006101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>An increase in a nation's productivity</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>45. <div class=""paragraph"">International trade and specialization most often lead to which of the following?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>An increase in a nation's productivity</span></span></div>
<div>B. <span class=""itemtext""><span>A decrease in a nation's economic growth in the long term</span></span></div>
<div>C. <span class=""itemtext""><span>An increase in a nation's import tariffs</span></span></div>
<div>D. <span class=""itemtext""><span>A decrease in a nation's standard of living</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #14 E006701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>The windmill that produces the electrical power</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>46. <div class=""paragraph"">Which of the following is an example of capital for a firm that produces wind-powered electricity?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>The wind that sets the windmill in motion</span></span></div>
<div>B. <span class=""itemtext""><span>The businessperson who established the firm</span></span></div>
<div>C. <span class=""itemtext""><span>The windmill that produces the electrical power</span></span></div>
<div>D. <span class=""itemtext""><span>The workers who build and repair windmills</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #15 E006801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Money</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>47. <div class=""paragraph"">Barter requires that each of two parties want the good or service that the other party is offering. Which of the following reduces the need for barter?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Money</span></span></div>
<div>B. <span class=""itemtext""><span>Insurance</span></span></div>
<div>C. <span class=""itemtext""><span>Employment</span></span></div>
<div>D. <span class=""itemtext""><span>Manufacturing</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2006-12E4 #16 E006901</span></div></div>"
