answer,answer_opt,no_of_options,question
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Hinduism</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><br>22. <div class=""paragraph"">What religion is practiced by most people who live in India?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Confucianism</span></span></div>
<div>B. <span class=""itemtext""><span>Buddhism</span></span></div>
<div>C. <span class=""itemtext""><span>Christianity</span></span></div>
<div>D. <span class=""itemtext""><span>Hinduism</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G5 #12 G016801</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>They are major causes of erosion.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>23. <div class=""paragraph"">How do the forces listed below affect the natural environment?</div><div class=""paragraph"" style=""padding-left:15%""><table width=""400""><tbody><tr><td>Gravity</td></tr><tr><td>Ice</td></tr><tr><td>Water</td></tr><tr><td>Wind</td></tr></tbody></table></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>They are major causes of erosion.</span></span></div>
<div>B. <span class=""itemtext""><span>They are important influences on human settlement.</span></span></div>
<div>C. <span class=""itemtext""><span>They are responsible for seismic activity.</span></span></div>
<div>D. <span class=""itemtext""><span>They cause continental drift.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G5 #13 G016901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>ecosystem</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the passage below.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph"">When the warm ocean current El Niño replaces the cooler Peruvian, or Humboldt, current along the coast of Peru, the supplies of anchovies on which sea birds feed decrease. As a result, the number of sea birds roosting on the coastal islands decreases.</div><div class=""paragraph""></div></div></div><br>24. <div class=""paragraph"">The passage describes the effect of El Niño on Peru's</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>wind currents</span></span></div>
<div>B. <span class=""itemtext""><span>weather</span></span></div>
<div>C. <span class=""itemtext""><span>ecosystem</span></span></div>
<div>D. <span class=""itemtext""><span>coastal erosion</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G5 #14 G017001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>the export of anchovies</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the passage below.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph"">When the warm ocean current El Niño replaces the cooler Peruvian, or Humboldt, current along the coast of Peru, the supplies of anchovies on which sea birds feed decrease. As a result, the number of sea birds roosting on the coastal islands decreases.</div><div class=""paragraph""></div></div></div><br>25. <div class=""paragraph"">In Peru, the developments described have an impact on</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>the money earned from tourists who visit its beaches</span></span></div>
<div>B. <span class=""itemtext""><span>the ability of ships to dock at its ports</span></span></div>
<div>C. <span class=""itemtext""><span>warm weather in coastal areas</span></span></div>
<div>D. <span class=""itemtext""><span>the export of anchovies</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G5 #15 G017002</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>economic activity</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>26. <div class=""paragraph"">The ""Corn Belt"" is a region defined on the basis of</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>population</span></span></div>
<div>B. <span class=""itemtext""><span>economic activity</span></span></div>
<div>C. <span class=""itemtext""><span>transportation networks</span></span></div>
<div>D. <span class=""itemtext""><span>political organization</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G5 #18 G017301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Crops and livestock</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bf961637-4976-4581-a2eb-d4a47dab0371"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=1eef5b05-c746-4a6b-b46c-1e7a9b365984"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=6a6bce48-1002-4d44-b5b2-68b359f1963f"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bc963a78-1aa4-4a4d-8476-798cd80e391a"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>27. <div class=""paragraph"">Look at the maps on pages 66 and 67 of the atlas. Find the parts of Europe where the natural vegetation is grassland. What type of land use occurs in most of these areas?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Manufacturing and trade</span></span></div>
<div>B. <span class=""itemtext""><span>Ranching and grazing</span></span></div>
<div>C. <span class=""itemtext""><span>Forest products</span></span></div>
<div>D. <span class=""itemtext""><span>Crops and livestock</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G7 #7 G036701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>South Asia near India and Sri Lanka</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bf961637-4976-4581-a2eb-d4a47dab0371"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=1eef5b05-c746-4a6b-b46c-1e7a9b365984"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=6a6bce48-1002-4d44-b5b2-68b359f1963f"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bc963a78-1aa4-4a4d-8476-798cd80e391a"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>28. <div class=""paragraph"">First look at the map of coral reefs on page 95 of the atlas. Next look at the population map on page 18. Coral reefs are in danger of becoming extinct because of environmental changes caused by humans.</div><div class=""paragraph""></div><div class=""paragraph"">In which region of the world are coral reefs most threatened by dense human populations?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Western Africa near Liberia and the Ivory Coast</span></span></div>
<div>B. <span class=""itemtext""><span>The Persian Gulf near Iran and Saudi Arabia</span></span></div>
<div>C. <span class=""itemtext""><span>South Asia near India and Sri Lanka</span></span></div>
<div>D. <span class=""itemtext""><span>South America near Argentina and Chile</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G7 #10 G037001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Colombia</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bf961637-4976-4581-a2eb-d4a47dab0371"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=1eef5b05-c746-4a6b-b46c-1e7a9b365984"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=6a6bce48-1002-4d44-b5b2-68b359f1963f"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bc963a78-1aa4-4a4d-8476-798cd80e391a"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>29. <div class=""paragraph"">Look at the political map of South America on page 49 of the atlas. Which of the following countries has its capital located in the interior?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Colombia</span></span></div>
<div>B. <span class=""itemtext""><span>Peru</span></span></div>
<div>C. <span class=""itemtext""><span>Argentina</span></span></div>
<div>D. <span class=""itemtext""><span>Guyana</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G7 #12 G037201</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>United States</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bf961637-4976-4581-a2eb-d4a47dab0371"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=1eef5b05-c746-4a6b-b46c-1e7a9b365984"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=6a6bce48-1002-4d44-b5b2-68b359f1963f"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=bc963a78-1aa4-4a4d-8476-798cd80e391a"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>30. <div class=""paragraph"">Look at the land use map on page 16 of the atlas and the pie charts of Japan's trade on page 87. Which of the following countries would be the most likely source of forest products for Japan?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>South Korea</span></span></div>
<div>B. <span class=""itemtext""><span>Germany</span></span></div>
<div>C. <span class=""itemtext""><span>United States</span></span></div>
<div>D. <span class=""itemtext""><span>Australia</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G7 #13 G037301</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>Colombia can grow a greater variety of crops than Canada can</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the map below.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""></div><div class=""stdaln_img""><img alt=""Map of western hemisphere with growing seasons outlined. Legend: Over 240 days; 120 to 240 days; 60 to 120 days; Less than 60 days"" class=""inln_img"" height=""526"" src=""./GeoGraphyMed_files/ItemResource(9)"" title=""Map of western hemisphere with growing seasons outlined. Legend: Over 240 days; 120 to 240 days; 60 to 120 days; Less than 60 days"" width=""394""/></div><div class=""paragraph""></div></div></div><br>31. <div class=""paragraph"">The information on the map shows that</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Brazil has a shorter growing season than Argentina has</span></span></div>
<div>B. <span class=""itemtext""><span>New York has a longer growing season than Chicago has</span></span></div>
<div>C. <span class=""itemtext""><span>Alaska can grow a greater variety of crops than Florida can</span></span></div>
<div>D. <span class=""itemtext""><span>Colombia can grow a greater variety of crops than Canada can</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G8 #5 G012302</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Nation A and Nation D</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question is based on the map below.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""></div><div class=""stdaln_img""><img alt=""Map outlining the natural resources of Nation A, Nation B, Nation C, and Nation D. Resources include: desert, coal, iron, and oil. Map also outlined with location of mountains, grasslands, and national boundaries. The legend states 1 inch equals 100 miles. Map also includes a compass."" class=""inln_img"" height=""645"" src=""./GeoGraphyMed_files/ItemResource(10)"" title=""Map outlining the natural resources of Nation A, Nation B, Nation C, and Nation D. Resources include: desert, coal, iron, and oil. Map also outlined with location of mountains, grasslands, and national boundaries. The legend states 1 inch equals 100 miles. Map also includes a compass."" width=""536""/></div><div class=""paragraph""></div></div></div><br>32. <div class=""paragraph"">Which two nations are most likely to have a conflict over mineral resources?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Nation A and Nation B</span></span></div>
<div>B. <span class=""itemtext""><span>Nation A and Nation C</span></span></div>
<div>C. <span class=""itemtext""><span>Nation A and Nation D</span></span></div>
<div>D. <span class=""itemtext""><span>Nation C and Nation D</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G8 #8 G012502</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Many of the world's problems involve more than one country.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><br>33. <div class=""paragraph"">What is an important reason that countries join international organizations like the United Nations?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Countries who do not join usually lose their independence.</span></span></div>
<div>B. <span class=""itemtext""><span>Many of the world's problems involve more than one country.</span></span></div>
<div>C. <span class=""itemtext""><span>Most citizens want their countries to join as many international organizations as possible.</span></span></div>
<div>D. <span class=""itemtext""><span>Such organizations force countries to join.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G8 #11 G012701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Alps</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>34. <div class=""paragraph"">Switzerland is located in the middle of which mountain range?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Alps</span></span></div>
<div>B. <span class=""itemtext""><span>Andes</span></span></div>
<div>C. <span class=""itemtext""><span>Urals</span></span></div>
<div>D. <span class=""itemtext""><span>Pyrenees</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-8G8 #16 G013101</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>They are major causes of erosion.</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><br>35. <div class=""paragraph"">How do the forces listed below affect the natural environment?<div class=""paragraph"" style=""padding-left:15%""><table width=""400""><tbody><tr><td>Gravity</td></tr><tr><td>Ice</td></tr><tr><td>Water</td></tr><tr><td>Wind</td></tr></tbody></table></div></div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>They are major causes of erosion.</span></span></div>
<div>B. <span class=""itemtext""><span>They are important influences on human settlement.</span></span></div>
<div>C. <span class=""itemtext""><span>They are responsible for seismic activity.</span></span></div>
<div>D. <span class=""itemtext""><span>They cause continental drift.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-12G5 #13 G016901</span></div></div>"
"<div class=""answer"">The correct answer is:<div>D. <span class=""itemtext""><span>the export of anchovies</span></span></div>
</div>",D,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question refers to the passage below.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph"">When the warm ocean current El Niño replaces the cooler Peruvian, or Humboldt, current along the coast of Peru, the supplies of anchovies on which sea birds feed decrease. As a result, the number of sea birds roosting on the coastal islands decreases.</div><div class=""paragraph""></div></div></div><br>36. <div class=""paragraph"">In Peru, the developments described have an impact on</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>the money earned from tourists who visit its beaches</span></span></div>
<div>B. <span class=""itemtext""><span>the ability of ships to dock at its ports</span></span></div>
<div>C. <span class=""itemtext""><span>warm weather in coastal areas</span></span></div>
<div>D. <span class=""itemtext""><span>the export of anchovies</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-12G5 #15 G017002</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>Indonesia, Panama, Uganda</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=6a984416-132f-4cf6-9058-33fc4ee24a69"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=f62790f5-b852-4d85-8b69-5b53c23c5316"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=950bdc47-95eb-4f54-bfb9-db3018a162dd"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=782afb18-2fad-4b7c-baf1-9da76505fb7e"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>37. <div class=""paragraph"">Turn to the climate map of the world on pages 12 and 13 in the atlas. Which of the following groups of countries falls within a tropical climate zone?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Bolivia, Syria, New Zealand</span></span></div>
<div>B. <span class=""itemtext""><span>Morocco, Uruguay, Japan</span></span></div>
<div>C. <span class=""itemtext""><span>Indonesia, Panama, Uganda</span></span></div>
<div>D. <span class=""itemtext""><span>Turkey, Portugal, Vietnam</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-12G7 #1 G039601</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Northwest Territories</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=6a984416-132f-4cf6-9058-33fc4ee24a69"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=f62790f5-b852-4d85-8b69-5b53c23c5316"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=950bdc47-95eb-4f54-bfb9-db3018a162dd"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=782afb18-2fad-4b7c-baf1-9da76505fb7e"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>38. <div class=""paragraph"">Using the atlas, find the maps you need to answer the following question.</div><div class=""paragraph""></div><div class=""paragraph"">According to the maps, which of the following provinces or territories is NOT accessible by a major highway?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Northwest Territories</span></span></div>
<div>B. <span class=""itemtext""><span>New Brunswick</span></span></div>
<div>C. <span class=""itemtext""><span>Yukon Territory</span></span></div>
<div>D. <span class=""itemtext""><span>Quebec</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-12G7 #2 G039701</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>9 P.M. Monday</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=6a984416-132f-4cf6-9058-33fc4ee24a69"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=f62790f5-b852-4d85-8b69-5b53c23c5316"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=950bdc47-95eb-4f54-bfb9-db3018a162dd"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=782afb18-2fad-4b7c-baf1-9da76505fb7e"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>39. <div class=""paragraph"">Look at the time zone map on page 19 of the atlas. If it is noon on Tuesday in Beijing, China, what is the time and day in Edmonton, Canada?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Noon Monday</span></span></div>
<div>B. <span class=""itemtext""><span>9 P.M. Monday</span></span></div>
<div>C. <span class=""itemtext""><span>5 A.M. Tuesday</span></span></div>
<div>D. <span class=""itemtext""><span>9 A.M. Tuesday</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-12G7 #9 G040401</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>Widespread irrigation allows for raising crops and livestock despite limited rainfall.</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=6a984416-132f-4cf6-9058-33fc4ee24a69"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=f62790f5-b852-4d85-8b69-5b53c23c5316"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=950bdc47-95eb-4f54-bfb9-db3018a162dd"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=782afb18-2fad-4b7c-baf1-9da76505fb7e"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>40. <div class=""paragraph"">Look at the maps of the United States on pages 36, 37, 38, and 40 of the atlas. What can you conclude about Nebraska and Colorado based on the information in these maps?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Large natural gas deposits have led to the development of extensive manufacturing.</span></span></div>
<div>B. <span class=""itemtext""><span>Widespread irrigation allows for raising crops and livestock despite limited rainfall.</span></span></div>
<div>C. <span class=""itemtext""><span>The long 8- to 10-month growing season makes the area a major corn-growing region.</span></span></div>
<div>D. <span class=""itemtext""><span>As part of the Southwest, the region's most important land use is ranching and grazing.</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-12G7 #10 G040501</span></div></div>"
"<div class=""answer"">The correct answer is:<div>A. <span class=""itemtext""><span>Ural Mountains</span></span></div>
</div>",A,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""stimulus""><div class=""stimlabel"">Atlas</div><div class=""paragraph""><div class=""prose1""><div class=""paragraph"">These documents are in PDF format. Click on the appropriate link to explore the maps.</div><div class=""paragraph""></div><div class=""paragraph""></div><ul><li>pages 5-29, plus inside page   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=6a984416-132f-4cf6-9058-33fc4ee24a69"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 30-55   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=f62790f5-b852-4d85-8b69-5b53c23c5316"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 56-79   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=950bdc47-95eb-4f54-bfb9-db3018a162dd"" onclick=""return PopupWindow(this)"">View PDF</a>) </li><li>pages 80-95   (<a href=""http://nces.ed.gov/NationsReportCard/nqt/Details/ItemResource?TableID=782afb18-2fad-4b7c-baf1-9da76505fb7e"" onclick=""return PopupWindow(this)"">View PDF</a>) </li></ul><div class=""paragraph""></div></div></div></div><br>41. <div class=""paragraph"">Using the atlas, find the map you need to answer the following question. What physical feature separates European Russia from Siberia?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>Ural Mountains</span></span></div>
<div>B. <span class=""itemtext""><span>Central Siberian Plateau</span></span></div>
<div>C. <span class=""itemtext""><span>Caspian Sea</span></span></div>
<div>D. <span class=""itemtext""><span>Volga River</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">2001-12G7 #15 G041001</span></div></div>"
"<div class=""answer"">The correct answer is:<div>B. <span class=""itemtext""><span>South</span></span></div>
</div>",B,4.0,"<div class=""questionwrapper""><div class=""question""><div class=""paragraph"">Question is based on the following map.<div class=""prose1""><div class=""paragraph""></div><div class=""paragraph""></div><div class=""stdaln_img""><img alt=""Graphic showing the map of the world with continents outlined. The image includes lines for latitude and longitude, as well as the degrees of each, and the Tropics of Cancer and Capricorn as well as the Equator are noted."" class=""inln_img"" height=""381"" src=""./GeoGraphyMed_files/ItemResource(11)"" title=""Graphic showing the map of the world with continents outlined. The image includes lines for latitude and longitude, as well as the degrees of each, and the Tropics of Cancer and Capricorn as well as the Equator are noted."" width=""590""/></div><div class=""paragraph""></div></div></div><br>42. <div class=""paragraph"">A ship carrying cars directly from Japan to Australia travels in which direction?</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>North</span></span></div>
<div>B. <span class=""itemtext""><span>South</span></span></div>
<div>C. <span class=""itemtext""><span>East</span></span></div>
<div>D. <span class=""itemtext""><span>West</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">1994-4G3 #3 G007003</span></div></div>"
"<div class=""answer"">The correct answer is:<div>C. <span class=""itemtext""><span>noise pollution</span></span></div>
</div>",C,4.0,"<div class=""questionwrapper""><div class=""question""><br>43. <div class=""paragraph"">Some people in Green County want to make their airport larger. The people who live near the airport are against this, probably because they are concerned about</div></br></div><div class=""distractors""><div>A. <span class=""itemtext""><span>highway safety</span></span></div>
<div>B. <span class=""itemtext""><span>water pollution</span></span></div>
<div>C. <span class=""itemtext""><span>noise pollution</span></span></div>
<div>D. <span class=""itemtext""><span>global warming</span></span></div>
</div><div class=""quesId"">Question ID: <span class=""questionId"">1994-4G3 #5 G007101</span></div></div>"
